offer_id	first_day_exposition	last_day_exposition	last_price	floor	open_plan	rooms	studio	area	kitchen_area	living_area	agent_fee	renovation	offer_type	category_type	unified_address	building_id
2926111044026206209	2016-08-15T00:00:00+03:00	2018-08-20T00:00:00+03:00	2600000.0	1	False	1	False	38.0	10.0	18.0		3.0	1	2	Россия, Санкт-Петербург, Колпино, улица Веры Слуцкой, 50	6148658472870268896
3376106655208546189	2017-10-04T00:00:00+03:00	2017-10-05T00:00:00+03:00	50000.0	2	False	2	False	75.0	16.0	50.0	100.0	0.0	2	2	Россия, Санкт-Петербург, Владимирский проспект, 16	3471682800503776200
8590904445177147649	2017-01-30T00:00:00+03:00	2017-02-06T00:00:00+03:00	1590000.0	2	False	3	False	60.0	6.2	18.0		3.0	1	2	Россия, Санкт-Петербург, улица Руднева, 27к2	2516989861423854126
5037141972395231745	2016-09-08T00:00:00+03:00	2016-09-12T00:00:00+03:00	4600000.0	3	False	2	False	42.0	6.5	27.0		10.0	1	2	Россия, Санкт-Петербург, улица Ленсовета, 56	6803532332481624256
1286083773445353472	2017-04-11T00:00:00+03:00	2018-02-07T00:00:00+03:00	2500000.0	5	False	1	False	30.0		29.0		3.0	1	2	Россия, Санкт-Петербург, Купчинская улица, 21к2	39004028942587187
4816665	2015-12-09T00:00:00+03:00	2016-05-10T00:00:00+03:00	33000.0	11	False	2	False	72.0	13.0	36.0		3.0	2	2	Россия, Санкт-Петербург, проспект Просвещения, 33к1	561327474932141598
4326819	2015-10-22T00:00:00+03:00	2016-02-15T00:00:00+03:00	14000.0	7	False	1	False	40.0	9.0	20.0		11.0	2	2	Россия, Санкт-Петербург, Красносельский район, улица Коммунаров, 120	4316233200469301856
3416285731319921664	2017-03-27T00:00:00+03:00	2018-02-07T00:00:00+03:00	2050000.0	4	False	0	True	20.2		15.0		2.0	1	2	Россия, Ленинградская область, Всеволожский район, посёлок Мурино, Охтинская аллея, 8	5271618061216668476
2954149042197235969	2017-10-04T00:00:00+03:00	2017-11-21T00:00:00+03:00	18000.0	4	False	1	False	40.0	10.0	18.0	50.0	0.0	2	2	Россия, Санкт-Петербург, проспект Маршака, 24к1	3778443398385394711
7937930849609385985	2018-02-01T00:00:00+03:00	2018-06-25T00:00:00+03:00	10999000.0	2	False	3	False	123.0	11.0	83.3		7.0	1	2	Россия, Санкт-Петербург, Финский переулок, 6	8182058236030625174
2332956270715965024	2016-02-02T00:00:00+03:00	2018-07-09T00:00:00+03:00	9152134.0	10	False	3	False	97.27	14.88	55.98		6.0	1	2	Россия, Санкт-Петербург, Балтийский бульвар, 4	6857553250730459760
4975825	2016-01-11T00:00:00+03:00	2016-05-19T00:00:00+03:00	4050000.0	2	False	1	False	37.0	7.0	19.3		3.0	1	2	Россия, Санкт-Петербург, проспект Художников, 35	6598364140011990569
8462871159083747618	2017-11-28T00:00:00+03:00	2018-05-29T00:00:00+03:00	25000.0	3	False	2	False	59.0	11.0	31.0	90.0	11.0	2	2	Россия, Санкт-Петербург, Пушкинский район, посёлок Шушары, Новгородский проспект, 6	4501382566050624463
4032815315067351040	2017-11-10T00:00:00+03:00	2017-11-27T00:00:00+03:00	2800000.0	5	True	0	False	26.9		19.2		7.0	1	2	Россия, Санкт-Петербург, Октябрьская набережная, 26к1	6392621326410641275
4629539119203609089	2016-02-29T00:00:00+03:00	2018-08-18T00:00:00+03:00	2500000.0	11	False	1	False	33.0	9.0	16.0		0.0	1	2	Россия, Ленинградская область, Всеволожский район, посёлок Мурино, улица Шоссе в Лаврики, 59к1	2071987663539958683
5152264856293135325	2018-05-30T00:00:00+03:00	2018-06-13T00:00:00+03:00	28000.0	15	False	1	False	42.0	12.0	20.0	100.0		2	2	Россия, Санкт-Петербург, Выборгское шоссе, 17к4	848931414102812684
1455200757378574592	2018-02-28T00:00:00+03:00	2018-03-07T00:00:00+03:00	17000.0	4	False	1	False	33.0	8.0	18.0	50.0		2	2	Россия, Санкт-Петербург, Светлановский проспект, 107	5263501251510395146
5245423870913713664	2017-02-26T00:00:00+03:00	2018-08-20T00:00:00+03:00	2998000.0	3	False	1	False	35.0	7.0	18.1		11.0	1	2	Россия, Санкт-Петербург, территория Горелово, Красносельское шоссе, 44к3	1035767884199143498
255460415724143872	2018-04-29T00:00:00+03:00	2018-06-29T00:00:00+03:00	2750000.0	8	False	1	False	30.0	7.0	15.0			1	2	Россия, Санкт-Петербург, Кронштадт, улица Станюковича, 6	4222975916584229320
5050587495393133825	2017-05-29T00:00:00+03:00	2018-06-11T00:00:00+03:00	3000000.0	1	False	2	False	57.7	11.0	30.0		3.0	1	2	Россия, Ленинградская область, Всеволожский район, Лесколовское сельское поселение, деревня Лесколово, Красноборская улица, 4В	8416542242525155135
